name,fips
"Aleutians East Borough, Alaska, United States",2013
"Aleutians West Census Area, Alaska, United States",2016
"Anchorage Municipality, Alaska, United States",2020
"Bethel Census Area, Alaska, United States",2050
"Bristol Bay Borough, Alaska, United States",2060
"Denali Borough, Alaska, United States",2068
"Dillingham Census Area, Alaska, United States",2070
"Fairbanks North Star Borough, Alaska, United States",2090
"Haines Borough, Alaska, United States",2100
"Hoonah-Angoon Census Area, Alaska, United States",2105
"Juneau City and Borough, Alaska, United States",2110
"Kenai Peninsula Borough, Alaska, United States",2122
"Ketchikan Gateway Borough, Alaska, United States",2130
"Kodiak Island Borough, Alaska, United States",2150
"Kusilvak Census Area, Alaska, United States",2158
"Lake and Peninsula Borough, Alaska, United States",2164
"Matanuska-Susitna Borough, Alaska, United States",2170
"Nome Census Area, Alaska, United States",2180
"North Slope Borough, Alaska, United States",2185
"Northwest Arctic Borough, Alaska, United States",2188
"Petersburg Borough, Alaska, United States",2195
"Prince of Wales-Hyder Census Area, Alaska, United States",2198
"Sitka City and Borough, Alaska, United States",2220
"Skagway Municipality, Alaska, United States",2230
"Southeast Fairbanks Census Area, Alaska, United States",2240
"Valdez-Cordova Census Area, Alaska, United States",2261
"Wrangell City and Borough, Alaska, United States",2275
"Yakutat City and Borough, Alaska, United States",2282
"Yukon-Koyukuk Census Area, Alaska, United States",2290
"Autauga County, Alabama, United States",1001
"Baldwin County, Alabama, United States",1003
"Barbour County, Alabama, United States",1005
"Bibb County, Alabama, United States",1007
"Blount County, Alabama, United States",1009
"Bullock County, Alabama, United States",1011
"Butler County, Alabama, United States",1013
"Calhoun County, Alabama, United States",1015
"Chambers County, Alabama, United States",1017
"Cherokee County, Alabama, United States",1019
"Chilton County, Alabama, United States",1021
"Choctaw County, Alabama, United States",1023
"Clarke County, Alabama, United States",1025
"Clay County, Alabama, United States",1027
"Cleburne County, Alabama, United States",1029
"Coffee County, Alabama, United States",1031
"Colbert County, Alabama, United States",1033
"Conecuh County, Alabama, United States",1035
"Coosa County, Alabama, United States",1037
"Covington County, Alabama, United States",1039
"Crenshaw County, Alabama, United States",1041
"Cullman County, Alabama, United States",1043
"Dale County, Alabama, United States",1045
"Dallas County, Alabama, United States",1047
"DeKalb County, Alabama, United States",1049
"Elmore County, Alabama, United States",1051
"Escambia County, Alabama, United States",1053
"Etowah County, Alabama, United States",1055
"Fayette County, Alabama, United States",1057
"Franklin County, Alabama, United States",1059
"Geneva County, Alabama, United States",1061
"Greene County, Alabama, United States",1063
"Hale County, Alabama, United States",1065
"Henry County, Alabama, United States",1067
"Houston County, Alabama, United States",1069
"Jackson County, Alabama, United States",1071
"Jefferson County, Alabama, United States",1073
"Lamar County, Alabama, United States",1075
"Lauderdale County, Alabama, United States",1077
"Lawrence County, Alabama, United States",1079
"Lee County, Alabama, United States",1081
"Limestone County, Alabama, United States",1083
"Lowndes County, Alabama, United States",1085
"Macon County, Alabama, United States",1087
"Madison County, Alabama, United States",1089
"Marengo County, Alabama, United States",1091
"Marion County, Alabama, United States",1093
"Marshall County, Alabama, United States",1095
"Mobile County, Alabama, United States",1097
"Monroe County, Alabama, United States",1099
"Montgomery County, Alabama, United States",1101
"Morgan County, Alabama, United States",1103
"Perry County, Alabama, United States",1105
"Pickens County, Alabama, United States",1107
"Pike County, Alabama, United States",1109
"Randolph County, Alabama, United States",1111
"Russell County, Alabama, United States",1113
"St. Clair County, Alabama, United States",1115
"Shelby County, Alabama, United States",1117
"Sumter County, Alabama, United States",1119
"Talladega County, Alabama, United States",1121
"Tallapoosa County, Alabama, United States",1123
"Tuscaloosa County, Alabama, United States",1125
"Walker County, Alabama, United States",1127
"Washington County, Alabama, United States",1129
"Wilcox County, Alabama, United States",1131
"Winston County, Alabama, United States",1133
"Arkansas County, Arkansas, United States",5001
"Ashley County, Arkansas, United States",5003
"Baxter County, Arkansas, United States",5005
"Benton County, Arkansas, United States",5007
"Boone County, Arkansas, United States",5009
"Bradley County, Arkansas, United States",5011
"Calhoun County, Arkansas, United States",5013
"Carroll County, Arkansas, United States",5015
"Chicot County, Arkansas, United States",5017
"Clark County, Arkansas, United States",5019
"Clay County, Arkansas, United States",5021
"Cleburne County, Arkansas, United States",5023
"Cleveland County, Arkansas, United States",5025
"Columbia County, Arkansas, United States",5027
"Conway County, Arkansas, United States",5029
"Craighead County, Arkansas, United States",5031
"Crawford County, Arkansas, United States",5033
"Crittenden County, Arkansas, United States",5035
"Cross County, Arkansas, United States",5037
"Dallas County, Arkansas, United States",5039
"Desha County, Arkansas, United States",5041
"Drew County, Arkansas, United States",5043
"Faulkner County, Arkansas, United States",5045
"Franklin County, Arkansas, United States",5047
"Fulton County, Arkansas, United States",5049
"Garland County, Arkansas, United States",5051
"Grant County, Arkansas, United States",5053
"Greene County, Arkansas, United States",5055
"Hempstead County, Arkansas, United States",5057
"Hot Spring County, Arkansas, United States",5059
"Howard County, Arkansas, United States",5061
"Independence County, Arkansas, United States",5063
"Izard County, Arkansas, United States",5065
"Jackson County, Arkansas, United States",5067
"Jefferson County, Arkansas, United States",5069
"Johnson County, Arkansas, United States",5071
"Lafayette County, Arkansas, United States",5073
"Lawrence County, Arkansas, United States",5075
"Lee County, Arkansas, United States",5077
"Lincoln County, Arkansas, United States",5079
"Little River County, Arkansas, United States",5081
"Logan County, Arkansas, United States",5083
"Lonoke County, Arkansas, United States",5085
"Madison County, Arkansas, United States",5087
"Marion County, Arkansas, United States",5089
"Miller County, Arkansas, United States",5091
"Mississippi County, Arkansas, United States",5093
"Monroe County, Arkansas, United States",5095
"Montgomery County, Arkansas, United States",5097
"Nevada County, Arkansas, United States",5099
"Newton County, Arkansas, United States",5101
"Ouachita County, Arkansas, United States",5103
"Perry County, Arkansas, United States",5105
"Phillips County, Arkansas, United States",5107
"Pike County, Arkansas, United States",5109
"Poinsett County, Arkansas, United States",5111
"Polk County, Arkansas, United States",5113
"Pope County, Arkansas, United States",5115
"Prairie County, Arkansas, United States",5117
"Pulaski County, Arkansas, United States",5119
"Randolph County, Arkansas, United States",5121
"St. Francis County, Arkansas, United States",5123
"Saline County, Arkansas, United States",5125
"Scott County, Arkansas, United States",5127
"Searcy County, Arkansas, United States",5129
"Sebastian County, Arkansas, United States",5131
"Sevier County, Arkansas, United States",5133
"Sharp County, Arkansas, United States",5135
"Stone County, Arkansas, United States",5137
"Union County, Arkansas, United States",5139
"Van Buren County, Arkansas, United States",5141
"Washington County, Arkansas, United States",5143
"White County, Arkansas, United States",5145
"Woodruff County, Arkansas, United States",5147
"Yell County, Arkansas, United States",5149
"Apache County, Arizona, United States",4001
"Cochise County, Arizona, United States",4003
"Coconino County, Arizona, United States",4005
"Gila County, Arizona, United States",4007
"Graham County, Arizona, United States",4009
"Greenlee County, Arizona, United States",4011
"La Paz County, Arizona, United States",4012
"Maricopa County, Arizona, United States",4013
"Mohave County, Arizona, United States",4015
"Navajo County, Arizona, United States",4017
"Pima County, Arizona, United States",4019
"Pinal County, Arizona, United States",4021
"Santa Cruz County, Arizona, United States",4023
"Yavapai County, Arizona, United States",4025
"Yuma County, Arizona, United States",4027
"Alameda County, California, United States",6001
"Alpine County, California, United States",6003
"Amador County, California, United States",6005
"Butte County, California, United States",6007
"Calaveras County, California, United States",6009
"Colusa County, California, United States",6011
"Contra Costa County, California, United States",6013
"Del Norte County, California, United States",6015
"El Dorado County, California, United States",6017
"Fresno County, California, United States",6019
"Glenn County, California, United States",6021
"Humboldt County, California, United States",6023
"Imperial County, California, United States",6025
"Inyo County, California, United States",6027
"Kern County, California, United States",6029
"Kings County, California, United States",6031
"Lake County, California, United States",6033
"Lassen County, California, United States",6035
"Los Angeles County, California, United States",6037
"Madera County, California, United States",6039
"Marin County, California, United States",6041
"Mariposa County, California, United States",6043
"Mendocino County, California, United States",6045
"Merced County, California, United States",6047
"Modoc County, California, United States",6049
"Mono County, California, United States",6051
"Monterey County, California, United States",6053
"Napa County, California, United States",6055
"Nevada County, California, United States",6057
"Orange County, California, United States",6059
"Placer County, California, United States",6061
"Plumas County, California, United States",6063
"Riverside County, California, United States",6065
"Sacramento County, California, United States",6067
"San Benito County, California, United States",6069
"San Bernardino County, California, United States",6071
"San Diego County, California, United States",6073
"San Francisco County, California, United States",6075
"San Joaquin County, California, United States",6077
"San Luis Obispo County, California, United States",6079
"San Mateo County, California, United States",6081
"Santa Barbara County, California, United States",6083
"Santa Clara County, California, United States",6085
"Santa Cruz County, California, United States",6087
"Shasta County, California, United States",6089
"Sierra County, California, United States",6091
"Siskiyou County, California, United States",6093
"Solano County, California, United States",6095
"Sonoma County, California, United States",6097
"Stanislaus County, California, United States",6099
"Sutter County, California, United States",6101
"Tehama County, California, United States",6103
"Trinity County, California, United States",6105
"Tulare County, California, United States",6107
"Tuolumne County, California, United States",6109
"Ventura County, California, United States",6111
"Yolo County, California, United States",6113
"Yuba County, California, United States",6115
"Adams County, Colorado, United States",8001
"Alamosa County, Colorado, United States",8003
"Arapahoe County, Colorado, United States",8005
"Archuleta County, Colorado, United States",8007
"Baca County, Colorado, United States",8009
"Bent County, Colorado, United States",8011
"Boulder County, Colorado, United States",8013
"Broomfield County, Colorado, United States",8014
"Chaffee County, Colorado, United States",8015
"Cheyenne County, Colorado, United States",8017
"Clear Creek County, Colorado, United States",8019
"Conejos County, Colorado, United States",8021
"Costilla County, Colorado, United States",8023
"Crowley County, Colorado, United States",8025
"Custer County, Colorado, United States",8027
"Delta County, Colorado, United States",8029
"Denver County, Colorado, United States",8031
"Dolores County, Colorado, United States",8033
"Douglas County, Colorado, United States",8035
"Eagle County, Colorado, United States",8037
"Elbert County, Colorado, United States",8039
"El Paso County, Colorado, United States",8041
"Fremont County, Colorado, United States",8043
"Garfield County, Colorado, United States",8045
"Gilpin County, Colorado, United States",8047
"Grand County, Colorado, United States",8049
"Gunnison County, Colorado, United States",8051
"Hinsdale County, Colorado, United States",8053
"Huerfano County, Colorado, United States",8055
"Jackson County, Colorado, United States",8057
"Jefferson County, Colorado, United States",8059
"Kiowa County, Colorado, United States",8061
"Kit Carson County, Colorado, United States",8063
"Lake County, Colorado, United States",8065
"La Plata County, Colorado, United States",8067
"Larimer County, Colorado, United States",8069
"Las Animas County, Colorado, United States",8071
"Lincoln County, Colorado, United States",8073
"Logan County, Colorado, United States",8075
"Mesa County, Colorado, United States",8077
"Mineral County, Colorado, United States",8079
"Moffat County, Colorado, United States",8081
"Montezuma County, Colorado, United States",8083
"Montrose County, Colorado, United States",8085
"Morgan County, Colorado, United States",8087
"Otero County, Colorado, United States",8089
"Ouray County, Colorado, United States",8091
"Park County, Colorado, United States",8093
"Phillips County, Colorado, United States",8095
"Pitkin County, Colorado, United States",8097
"Prowers County, Colorado, United States",8099
"Pueblo County, Colorado, United States",8101
"Rio Blanco County, Colorado, United States",8103
"Rio Grande County, Colorado, United States",8105
"Routt County, Colorado, United States",8107
"Saguache County, Colorado, United States",8109
"San Juan County, Colorado, United States",8111
"San Miguel County, Colorado, United States",8113
"Sedgwick County, Colorado, United States",8115
"Summit County, Colorado, United States",8117
"Teller County, Colorado, United States",8119
"Washington County, Colorado, United States",8121
"Weld County, Colorado, United States",8123
"Yuma County, Colorado, United States",8125
"Fairfield County, Connecticut, United States",9001
"Hartford County, Connecticut, United States",9003
"Litchfield County, Connecticut, United States",9005
"Middlesex County, Connecticut, United States",9007
"New Haven County, Connecticut, United States",9009
"New London County, Connecticut, United States",9011
"Tolland County, Connecticut, United States",9013
"Windham County, Connecticut, United States",9015
"District of Columbia, Washington, D.C., United States",11001
"Kent County, Delaware, United States",10001
"New Castle County, Delaware, United States",10003
"Sussex County, Delaware, United States",10005
"Alachua County, Florida, United States",12001
"Baker County, Florida, United States",12003
"Bay County, Florida, United States",12005
"Bradford County, Florida, United States",12007
"Brevard County, Florida, United States",12009
"Broward County, Florida, United States",12011
"Calhoun County, Florida, United States",12013
"Charlotte County, Florida, United States",12015
"Citrus County, Florida, United States",12017
"Clay County, Florida, United States",12019
"Collier County, Florida, United States",12021
"Columbia County, Florida, United States",12023
"DeSoto County, Florida, United States",12027
"Dixie County, Florida, United States",12029
"Duval County, Florida, United States",12031
"Escambia County, Florida, United States",12033
"Flagler County, Florida, United States",12035
"Franklin County, Florida, United States",12037
"Gadsden County, Florida, United States",12039
"Gilchrist County, Florida, United States",12041
"Glades County, Florida, United States",12043
"Gulf County, Florida, United States",12045
"Hamilton County, Florida, United States",12047
"Hardee County, Florida, United States",12049
"Hendry County, Florida, United States",12051
"Hernando County, Florida, United States",12053
"Highlands County, Florida, United States",12055
"Hillsborough County, Florida, United States",12057
"Holmes County, Florida, United States",12059
"Indian River County, Florida, United States",12061
"Jackson County, Florida, United States",12063
"Jefferson County, Florida, United States",12065
"Lafayette County, Florida, United States",12067
"Lake County, Florida, United States",12069
"Lee County, Florida, United States",12071
"Leon County, Florida, United States",12073
"Levy County, Florida, United States",12075
"Liberty County, Florida, United States",12077
"Madison County, Florida, United States",12079
"Manatee County, Florida, United States",12081
"Marion County, Florida, United States",12083
"Martin County, Florida, United States",12085
"Miami-Dade County, Florida, United States",12086
"Monroe County, Florida, United States",12087
"Nassau County, Florida, United States",12089
"Okaloosa County, Florida, United States",12091
"Okeechobee County, Florida, United States",12093
"Orange County, Florida, United States",12095
"Osceola County, Florida, United States",12097
"Palm Beach County, Florida, United States",12099
"Pasco County, Florida, United States",12101
"Pinellas County, Florida, United States",12103
"Polk County, Florida, United States",12105
"Putnam County, Florida, United States",12107
"St. Johns County, Florida, United States",12109
"St. Lucie County, Florida, United States",12111
"Santa Rosa County, Florida, United States",12113
"Sarasota County, Florida, United States",12115
"Seminole County, Florida, United States",12117
"Sumter County, Florida, United States",12119
"Suwannee County, Florida, United States",12121
"Taylor County, Florida, United States",12123
"Union County, Florida, United States",12125
"Volusia County, Florida, United States",12127
"Wakulla County, Florida, United States",12129
"Walton County, Florida, United States",12131
"Washington County, Florida, United States",12133
"Appling County, Georgia, United States",13001
